"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG",filter,quote,"BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT_1","NAME_BASISWERT_2","NAME_BASISWERT_3","NAME_BASISWERT_4","NAME_BASISWERT_5",jahr,"GLIEDERUNG",id,region
"Bevölkerung","Frauenanteil","gesamt","53,3","24738","46385","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Frauenanteil","gesamt","52,7","45881","87043","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Frauenanteil","gesamt","53,2","33255","62541","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Stadtbezirk","4","04 Schwabing West"
"Bevölkerung","Frauenanteil","Deutsche","51,2","25473","49769","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Stadtbezirk","12","12 Schwabing -  Freimann"
"Bevölkerung","Frauenanteil","Deutsche","52,4","15360","29292","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Frauenanteil","Deutsche","51,8","14828","28605","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Frauenanteil","Deutsche","52,4","551064","1051390","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Frauenanteil","Deutsche","51,8","19449","37580","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Frauenanteil","Ausländerinnen","45,4","6708","14780","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Frauenanteil","Ausländerinnen","49,5","4888","9876","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Frauenanteil","gesamt","50,7","29956","59031","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Frauenanteil","gesamt","51,5","19731","38327","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Frauenanteil","gesamt","51,4","702797","1367314","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Frauenanteil","gesamt","50,3","24579","48884","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Frauenanteil","Deutsche","52,4","28409","54265","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Frauenanteil","gesamt","52,2","43244","82771","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Frauenanteil","gesamt","50,7","24577","48451","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Frauenanteil","Ausländerinnen","47,5","5233","11025","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Frauenanteil","Ausländerinnen","50,7","7142","14097","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Frauenanteil","Deutsche","53,5","21456","40120","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Stadtbezirk","25","25 Laim"
"Bevölkerung","Frauenanteil","Deutsche","53,1","35492","66807","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Frauenanteil","Deutsche","51,8","18692","36099","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Frauenanteil","Deutsche","52","16174","31114","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Frauenanteil","gesamt","50","9754","19505","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Frauenanteil","gesamt","50,8","24505","48282","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Frauenanteil","gesamt","51,9","28973","55853","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Frauenanteil","Deutsche","50,5","22282","44093","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Bevölkerung","Frauenanteil","Deutsche","53,4","21162","39626","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Frauenanteil","gesamt","48,3","22995","47599","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Frauenanteil","Deutsche","52,9","21300","40246","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Frauenanteil","Ausländerinnen","48,2","11618","24105","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Bevölkerung","Frauenanteil","gesamt","8,3","1","12","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Stadtbezirk","99","99 nicht zuzuordnen"
"Bevölkerung","Frauenanteil","gesamt","50,3","27986","55667","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Frauenanteil","gesamt","51,5","33642","65290","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2008","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Frauenanteil","Deutsche","51,1","12333","24150","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2008","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Frauenanteil","Ausländerinnen","48,6","7752","15964","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2008","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Frauenanteil","Ausländerinnen","33,3","3","9","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2002","Stadtbezirk","99","99 nicht zuzuordnen"
"Bevölkerung","Frauenanteil","Ausländerinnen","47,4","6740","14208","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2002","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Frauenanteil","Ausländerinnen","45,7","5057","11054","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2002","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Frauenanteil","Ausländerinnen","44,9","5991","13338","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2002","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Frauenanteil","Ausländerinnen","49,4","6013","12178","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2002","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Frauenanteil","Ausländerinnen","46,5","5434","11674","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2002","Stadtbezirk","4","04 Schwabing West"
"Bevölkerung","Frauenanteil","Deutsche","53,2","518402","975046","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2002","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Frauenanteil","Deutsche","53,1","16648","31329","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2002","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Frauenanteil","Ausländerinnen","42,7","3186","7456","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2002","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Frauenanteil","Ausländerinnen","47,5","4647","9784","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2002","Stadtbezirk","25","25 Laim"
"Bevölkerung","Frauenanteil","Ausländerinnen","46,3","133876","289263","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2002","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Frauenanteil","Ausländerinnen","44,4","4565","10277","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2002","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Frauenanteil","Ausländerinnen","45,6","4583","10050","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2002","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Frauenanteil","Deutsche","54,8","21262","38822","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2002","Stadtbezirk","25","25 Laim"
"Bevölkerung","Frauenanteil","Ausländerinnen","48,3","12528","25939","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2002","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Frauenanteil","Deutsche","52,8","23697","44874","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2011","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Frauenanteil","Deutsche","50,9","7806","15351","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2011","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Frauenanteil","Deutsche","51,5","18620","36147","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2011","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Frauenanteil","Deutsche","52,7","21258","40364","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2011","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Frauenanteil","Deutsche","50","17791","35617","","","","Anzahl aller weiblichen Einwohner (deutsch)","Anzahl aller Einwohner (deutsch)","","","","2011","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Frauenanteil","Ausländerinnen","48,4","2110","4356","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2011","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Frauenanteil","Ausländerinnen","48,5","6028","12423","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2011","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Frauenanteil","Ausländerinnen","45,8","6649","14509","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2011","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Frauenanteil","Ausländerinnen","49,2","6355","12907","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2011","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Frauenanteil","Ausländerinnen","45,6","5747","12614","","","","Anzahl aller weiblichen Einwohner (Ausländer)","Anzahl aller Einwohner (Ausländer)","","","","2011","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Frauenanteil","gesamt","49,3","34724","70470","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2011","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Bevölkerung","Frauenanteil","gesamt","51,4","54484","105900","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2011","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Frauenanteil","gesamt","51,4","34860","67878","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2011","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Frauenanteil","gesamt","52,4","41512","79175","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2011","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Frauenanteil","gesamt","51,2","721664","1410741","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2011","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Frauenanteil","gesamt","50,2","24864","49498","","","","Anzahl aller weiblichen Einwohner (gesamt)","Anzahl aller Einwohner (gesamt)","","","","2011","Stadtbezirk","3","03 Maxvorstadt"
